"cd_mun";"ano";"area_desmatada_ha";"fonte";"CD_MUN";"NM_MUN";"SIGLA";"AREA_KM2"
"2909307";2002;17018,03118;"PRODES";"2909307";"Correntina (BA)";"BA";11504,314
"2911105";2002;23016,94906;"PRODES";"2911105";"Formosa do Rio Preto (BA)";"BA";15634,328
"2928901";2002;25552,64029;"PRODES";"2928901";"São Desidério (BA)";"BA";15156,712
"2909307";2004;35384,60965;"PRODES";"2909307";"Correntina (BA)";"BA";11504,314
"2911105";2004;65470,95124;"PRODES";"2911105";"Formosa do Rio Preto (BA)";"BA";15634,328
"2928901";2004;29860,87976;"PRODES";"2928901";"São Desidério (BA)";"BA";15156,712
"2909307";2006;12354,408;"PRODES";"2909307";"Correntina (BA)";"BA";11504,314
"2911105";2006;27315,76147;"PRODES";"2911105";"Formosa do Rio Preto (BA)";"BA";15634,328
"2928901";2006;20332,64224;"PRODES";"2928901";"São Desidério (BA)";"BA";15156,712
"2909307";2008;22055,24224;"PRODES";"2909307";"Correntina (BA)";"BA";11504,314
"2911105";2008;26810,15382;"PRODES";"2911105";"Formosa do Rio Preto (BA)";"BA";15634,328
"2928901";2008;32051,79829;"PRODES";"2928901";"São Desidério (BA)";"BA";15156,712
"2909307";2010;8323,754118;"PRODES";"2909307";"Correntina (BA)";"BA";11504,314
"2911105";2010;18374,96029;"PRODES";"2911105";"Formosa do Rio Preto (BA)";"BA";15634,328
"2928901";2010;12398,66824;"PRODES";"2928901";"São Desidério (BA)";"BA";15156,712
"2909307";2012;14652,45529;"PRODES";"2909307";"Correntina (BA)";"BA";11504,314
"2911105";2012;27855,12494;"PRODES";"2911105";"Formosa do Rio Preto (BA)";"BA";15634,328
"2928901";2012;19921,98794;"PRODES";"2928901";"São Desidério (BA)";"BA";15156,712
"2909307";2013;8186,268706;"PRODES";"2909307";"Correntina (BA)";"BA";11504,314
"2911105";2013;14448,34659;"PRODES";"2911105";"Formosa do Rio Preto (BA)";"BA";15634,328
"2928901";2013;16532,16035;"PRODES";"2928901";"São Desidério (BA)";"BA";15156,712
"2909307";2014;8395,874824;"PRODES";"2909307";"Correntina (BA)";"BA";11504,314
